Designator,Mid X,Mid Y,Rotation,Layer
A1,195.8975,-99.905,90.0,top
C1,160.6,-104.0,0.0,top
C2,164.4,-104.0,0.0,top
C3,154.2,-78.6175,90.0,top
C4,152.55,-78.6675,270.0,top
C5,152.52,-82.1075,90.0,top
C6,206.0,-109.9,90.0,top
D1,177.625,-106.5,180.0,top
D3,173.0,-105.5,270.0,top
F1,169.5,-105.5,90.0,top
J1,191.83,-76.0,270.0,top
J2,181.69,-88.32,90.0,top
J3,173.75,-111.8,0.0,top
J4,153.54,-92.76,0.0,top
R1,177.6475,-104.67,0.0,top
R2,154.23,-82.1075,270.0,top
R3,181.4875,-96.2,180.0,top
R4,181.4875,-98.6,0.0,top
U1,167.05,-77.06,0.0,top
U2,162.6,-110.25,90.0,top
